sentiment,text,clean_text,vader_pred,vader_pred_binary,roberta_pred,roberta_pred_binary
negative,"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.",gym attire today was puma singlet adidas shorts and black business socks and leather shoes lucky did not run into any cute girls,positive,positive,neutral,negative
negative,Why won't you show my location?!   http://twitpic.com/2y2es,why won t you show my location,positive,positive,negative,negative
negative,No picnic  my phone smells like citrus.,no picnic my phone smells like citrus,positive,positive,negative,negative
negative,"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. ",my donkey is sensitive about such comments nevertheless he d and me d be glad to see your mug asap charger is still awol,positive,positive,positive,positive
negative,No new csi tonight.  FML,no new csi tonight fml,negative,negative,negative,negative
negative,i think my arms are sore from tennis ,i think my arms are sore from tennis,negative,negative,negative,negative
negative,wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ,wonders why someone that u like so much can make you so unhappy in a split seccond depressed,negative,negative,negative,negative
negative,sleep soon... i just hate saying bye and see you tomorrow for the night. ,sleep soon i just hate saying bye and see you tomorrow for the night,negative,negative,negative,negative
negative,"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ",just got ur newsletter those fares really are unbelievable shame i already booked and paid for mine,negative,negative,negative,negative
negative,missin' the boo ,missin the boo,neutral,negative,neutral,negative
negative,@markhardy1974 Me too  #itm,me too itm,neutral,negative,neutral,negative
negative,Damn... I don't have any chalk! MY CHALKBOARD IS USELESS ,damn i don t have any chalk my chalkboard is useless,negative,negative,negative,negative
negative,"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too ",had a blast at the getty villa but hates that she s had a sore throat all day it s just getting worse too,negative,negative,negative,negative
negative,@msdrama hey missed ya at the meeting  sup mama,hey missed ya at the meeting sup mama,negative,negative,neutral,negative
negative,"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!",my tummy hurts i wonder if the hypnosis has anything to do with it if so it s working i get it stop smoking,negative,negative,negative,negative
negative,why is it always the fat ones?! ,why is it always the fat ones,neutral,negative,negative,negative
negative,"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*",sorry babe my fam annoys me too thankfully they re asleep right now muahaha evil laugh,negative,negative,negative,negative
negative,@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,i should have paid more attention when we covered photoshop in my webpage design class in undergrad,neutral,negative,negative,negative
negative,wednesday my b-day! don't know what 2 do!! ,wednesday my b day don t know what 2 do,neutral,negative,negative,negative
negative,Poor cameron (the hills) ,poor cameron the hills,negative,negative,negative,negative
negative,"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache ",pray for me please the ex is threatening to start sh at my our babies 1st birthday party what a jerk and i still have a headache,positive,positive,negative,negative
negative,"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike",hmm do u really enjoy being with him if the problems are too constants u should think things more find someone ulike,positive,positive,neutral,negative
negative,Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435,strider is a sick little puppy,negative,negative,negative,negative
negative,"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL.....",so rylee grace wana go steve s party or not sadly since its easter i wnt b able 2 do much but ohh well,positive,positive,neutral,negative
negative,"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money ",hey i actually won one of my bracket pools too bad it wasn t the one for money,positive,positive,positive,positive
negative,"@stark YOU don't follow me, either  and i work for you!",you don t follow me either and i work for you,neutral,negative,negative,negative
negative,A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,a bad nite for the favorite teams astros and spartans lose the nite out with t w was good,negative,negative,negative,negative
